played_at,track_name,explicit,duration_ms,type,playlist_url
2017-06-24T18:57:25.899Z,People In Tha Middle,FALSE,302138,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
2017-06-24T18:52:23.008Z,I Can Give,TRUE,226426,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
2017-05-03T12:42:42.156Z,Loving You Baby,FALSE,212312,playlist,NA
2017-06-10T09:29:39.470Z,All The Time,FALSE,313107,playlist,https://open.spotify.com/user/1253842/playlist/5yb4olonApvaO9LlmQXS88
2017-06-27T00:24:42.441Z,Xenomorphic,FALSE,318000,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
2017-06-06T07:42:35.133Z,Gratitude - Original Mix,FALSE,466285,playlist,https://open.spotify.com/user/snip3rwarface/playlist/0OEieW2vRqVZRraoFsw4Z4
2017-04-04T12:26:10.792Z,Let The Good Times Roll,FALSE,175733,NA,NA
2017-06-24T18:22:51.015Z,Slim's Return,FALSE,236306,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
2017-04-18T09:40:40.808Z,Be Thankful for What You Got (Pt. 1 & Pt. 2),FALSE,429371,playlist,NA
2017-05-24T11:15:35.451Z,All that matters,FALSE,456774,album,https://open.spotify.com/album/1kIMVFVdytbIFuBs6iMV12
2017-06-09T08:03:57.958Z,Pony,FALSE,251733,NA,NA
2017-06-26T21:06:10.190Z,Ground Luminosity - Ott's New Yoghurt Loom Mix,FALSE,511706,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
2017-04-12T09:01:10.389Z,Modified - Original Mix,FALSE,608040,album,NA
2017-05-13T19:54:37.832Z,A Hard Day's Night,FALSE,266066,NA,NA
2017-04-11T21:13:10.410Z,"Sad Days, Lonely Nights - Solo Version",FALSE,333200,album,NA
2017-05-21T13:24:09.875Z,Devil - Remix,FALSE,559173,artist,NA
2017-04-05T07:22:03.749Z,Hoy Es Mañana (feat. The Caribbean Ravers),TRUE,212693,album,NA
